,Polling,Con,Lab,LD,Green,BXP/Reform,date_published,
567,Survation,35,43,11,2,1,04/06/2022,
546,R+W,34,38,11,7,4,06/06/2022,
569,BMG,32,42,11,4,4,06/06/2022,
547,R+W,32,40,13,5,4,09/06/2022,
545,YouGov,32,36,12,8,4,10/06/2022,
548,Techne,33,39,12,6,,10/06/2022,
550,Opinium,34,36,13,6,,12/06/2022,
553,R+W,32,39,15,6,2,13/06/2022,
552,Savanta ComRes,34,40,10,4,2,15/06/2022,
554,R+W,34,42,12,4,3,16/06/2022,
551,Survation,34,41,10,3,2,17/06/2022,
555,Techne,33,39,13,5,,17/06/2022,
556,YouGov,33,39,10,6,4,17/06/2022,
559,R+W,33,40,13,5,5,20/06/2022,
557,Kantar,34,36,13,5,4,23/06/2022,
558,Savanta ComRes,31,42,10,5,3,23/06/2022,
560,R+W,32,41,13,5,4,24/06/2022,
561,Techne,32,38,14,6,,24/06/2022,
563,Opinium,34,37,11,6,,26/06/2022,
566,R+W,33,41,15,4,3,27/06/2022,
562,YouGov,34,39,9,8,4,28/06/2022,
565,Savanta ComRes,34,41,10,5,1,29/06/2022,
568,YouGov,33,36,13,6,3,30/06/2022,
570,R+W,32,40,13,4,3,30/06/2022,
593,Ipsos,30,44,10,8,1,01/07/2022,
600,R+W,34,38,11,7,4,01/07/2022,
598,YouGov,34,35,13,7,3,02/07/2022,
573,R+W,35,41,11,5,5,04/07/2022,
599,Kantar,32,36,13,8,4,04/07/2022,
572,Savanta ComRes,32,41,11,3,4,05/07/2022,
575,YouGov,29,40,15,6,3,07/07/2022,
577,R+W,31,43,12,7,2,07/07/2022,
574,Survation,31,45,11,3,2,08/07/2022,
578,Techne,29,41,14,6,,08/07/2022,
576,Opinium,33,38,12,6,,10/07/2022,
579,Savanta ComRes,28,43,12,4,3,11/07/2022,
580,R+W,31,42,12,5,5,11/07/2022,
582,YouGov,29,40,13,7,4,15/07/2022,
583,Techne,31,40,13,6,,15/07/2022,
581,JL Partners,31,42,12,6,3,17/07/2022,
586,R+W,32,42,12,5,3,18/07/2022,
584,Kantar,33,37,13,7,4,21/07/2022,
585,Savanta ComRes,30,43,11,4,3,21/07/2022,
587,R+W,35,44,9,5,3,21/07/2022,
588,Techne,32,41,12,6,,22/07/2022,
589,Savanta ComRes,33,44,9,3,3,22/07/2022,
590,Opinium,34,37,13,6,,24/07/2022,
592,Deltapoll,31,42,10,6,3,24/07/2022,
595,R+W,34,40,12,5,3,25/07/2022,
591,YouGov,32,39,12,8,4,27/07/2022,
596,R+W,33,41,11,5,4,28/07/2022,
594,Savanta ComRes,29,42,12,4,4,29/07/2022,
597,Techne,33,40,12,6,,29/07/2022,
622,R+W,31,42,12,7,3,01/08/2022,
621,PeoplePolling,25,42,10,7,4,02/08/2022,
624,Techne,32,42,12,5,,02/08/2022,
626,Opinium,34,38,12,6,,03/08/2022,
627,Deltapoll,31,42,10,6,3,03/08/2022,
602,R+W,32,40,13,4,4,04/08/2022,
601,Techne,34,39,13,5,,05/08/2022,
623,Survation,33,43,11,3,1,05/08/2022,
625,YouGov,28,43,11,6,3,06/08/2022,
603,Opinium,34,37,12,6,,07/08/2022,
604,YouGov,33,37,11,8,3,08/08/2022,
605,R+W,35,40,12,5,3,08/08/2022,
607,Techne,35,39,12,5,,12/08/2022,
608,R+W,34,41,12,5,3,15/08/2022,
606,YouGov,30,39,12,6,4,17/08/2022,
610,BMG,32,42,11,5,3,19/08/2022,
609,YouGov,28,43,11,7,4,20/08/2022,
611,Opinium,31,39,10,7,,21/08/2022,
614,R+W,31,43,13,5,3,22/08/2022,
613,Deltapoll,31,43,11,6,2,24/08/2022,
612,Kantar,33,40,14,6,2,25/08/2022,
617,R+W,33,42,12,5,2,25/08/2022,
615,PeoplePolling,26,40,11,6,5,26/08/2022,
618,Techne,33,41,11,6,,26/08/2022,
620,R+W,33,42,13,4,4,29/08/2022,
616,YouGov,31,39,11,7,5,30/08/2022,
619,Deltapoll,31,44,12,4,2,31/08/2022,
659,Opinium,27,46,9,6,,02/09/2022,
662,Savanta ComRes,25,50,11,3,3,03/09/2022,
628,R+W,31,43,12,6,3,05/09/2022,
629,YouGov,29,44,10,7,3,08/09/2022,
630,R+W,30,42,14,6,2,08/09/2022,
631,PeoplePolling,28,40,9,7,4,09/09/2022,
632,Techne,34,42,11,4,,11/09/2022,
635,Savanta ComRes,35,42,10,3,3,12/09/2022,
634,Deltapoll,32,44,9,4,2,14/09/2022,
636,YouGov,32,42,10,7,2,14/09/2022,
637,PeoplePolling,28,40,10,6,5,16/09/2022,
638,Techne,35,41,10,5,,16/09/2022,
652,Opinium,28,43,13,7,,17/09/2022,
640,Deltapoll,32,42,10,6,2,20/09/2022,
641,R+W,34,42,10,5,3,20/09/2022,
633,Ipsos,30,40,13,8,1,22/09/2022,
642,PeoplePolling,28,40,10,8,4,23/09/2022,
643,R+W,32,42,12,5,4,23/09/2022,
644,Techne,34,41,11,5,,23/09/2022,
645,YouGov,32,40,9,8,3,23/09/2022,
639,Savanta ComRes,33,45,10,4,3,25/09/2022,
651,R+W,31,44,11,6,2,26/09/2022,
646,Deltapoll,31,44,12,4,2,27/09/2022,
648,YouGov,28,45,9,7,3,27/09/2022,
650,Find Out Now / Electoral Calculus,28,45,11,6,3,28/09/2022,
647,Kantar,35,39,10,4,3,29/09/2022,
653,Deltapoll,29,48,9,4,2,29/09/2022,
655,R+W,29,46,13,4,4,29/09/2022,
656,YouGov,21,54,7,6,4,29/09/2022,
660,Survation,28,49,11,1,2,29/09/2022,
649,Omnisis,32,44,10,5,4,30/09/2022,
654,BMG,30,47,9,5,3,30/09/2022,
657,Techne,27,47,11,6,,30/09/2022,
658,PeoplePolling,20,50,9,8,3,30/09/2022,
661,Omnisis,23,55,7,5,3,30/09/2022,
663,R+W,24,52,10,5,3,03/10/2022,
703,Focaldata,29,48,8,4,5,04/10/2022,
664,R+W,24,52,10,5,3,06/10/2022,
665,Techne,26,48,10,6,,07/10/2022,
668,PeoplePolling,20,52,8,7,4,07/10/2022,
669,Deltapoll,26,51,9,4,2,07/10/2022,
670,Omnisis,24,51,10,5,4,07/10/2022,
666,Opinium,26,47,11,6,,08/10/2022,
671,YouGov,22,52,9,6,5,08/10/2022,
673,R+W,25,54,10,4,3,10/10/2022,
674,YouGov,23,51,9,7,3,13/10/2022,
675,PeoplePolling,19,53,8,6,4,13/10/2022,
677,R+W,24,53,13,3,2,13/10/2022,
667,Ipsos,26,47,10,8,2,14/10/2022,
672,Savanta ComRes,23,51,10,4,3,14/10/2022,
676,Techne,25,49,11,6,,14/10/2022,
678,Omnisis,28,49,10,5,2,14/10/2022,
679,Deltapoll,23,55,7,4,3,17/10/2022,
681,R+W,20,56,11,5,2,17/10/2022,
680,Savanta ComRes,22,52,11,2,3,19/10/2022,
682,Survation,23,52,11,3,2,20/10/2022,
683,R+W,19,55,12,4,4,20/10/2022,
684,Techne,22,53,11,5,,20/10/2022,
686,Omnisis,22,57,7,4,3,20/10/2022,
687,PeoplePolling,14,53,11,6,5,20/10/2022,
688,YouGov,19,56,10,4,5,21/10/2022,
685,Opinium,23,50,9,6,,23/10/2022,
689,Deltapoll,25,51,10,5,3,24/10/2022,
690,Omnisis,22,56,10,4,3,24/10/2022,
692,R+W,21,54,11,4,4,24/10/2022,
691,Savanta ComRes,25,51,8,2,6,26/10/2022,
694,YouGov,23,51,9,4,6,27/10/2022,
695,R+W,23,55,9,5,4,27/10/2022,
693,BMG,26,49,10,5,5,28/10/2022,
696,PeoplePolling,20,51,9,5,7,28/10/2022,
697,Techne,26,50,10,5,,28/10/2022,
698,Survation,27,51,8,2,1,28/10/2022,
700,Omnisis,25,53,7,4,6,28/10/2022,
699,Opinium,28,44,10,5,,30/10/2022,
701,Deltapoll,26,51,9,4,3,31/10/2022,
702,R+W,27,50,9,5,3,31/10/2022,
736,Savanta ComRes,26,47,10,2,5,01/11/2022,
738,YouGov,22,47,9,5,9,01/11/2022,
739,BMG,28,46,10,5,6,02/11/2022,
740,PeoplePolling,21,46,7,9,7,02/11/2022,
741,Techne,26,49,10,4,5,02/11/2022,
705,YouGov,24,50,9,5,6,03/11/2022,
707,R+W,30,47,12,3,4,03/11/2022,
704,PeoplePolling,21,47,10,7,5,04/11/2022,
708,Techne,29,49,9,4,,04/11/2022,
710,Omnisis,27,51,7,3,6,04/11/2022,
742,Opinium,29,43,8,6,6,04/11/2022,
709,Opinium,28,46,8,6,,05/11/2022,
706,Survation,27,50,7,3,3,06/11/2022,
711,R+W,27,48,10,4,5,07/11/2022,
712,Deltapoll,29,47,9,5,3,07/11/2022,
714,R+W,28,49,11,4,4,10/11/2022,
713,PeoplePolling,21,42,9,9,8,11/11/2022,
715,Techne,30,49,8,4,,11/11/2022,
718,Omnisis,26,49,7,5,8,11/11/2022,
719,Deltapoll,27,50,6,6,3,14/11/2022,
720,R+W,26,50,9,5,4,14/11/2022,
716,YouGov,25,48,10,5,5,16/11/2022,
722,R+W,27,48,10,4,5,17/11/2022,
717,Ipsos,29,50,7,3,2,18/11/2022,
723,Techne,28,50,8,4,,18/11/2022,
724,Omnisis,21,48,10,7,5,18/11/2022,
725,Opinium,28,45,9,4,,19/11/2022,
728,PeoplePolling,21,47,10,7,6,19/11/2022,
726,Deltapoll,25,51,9,4,4,20/11/2022,
730,R+W,28,49,9,4,5,21/11/2022,
721,YouGov,26,47,9,5,6,23/11/2022,
727,Kantar,30,45,8,4,5,24/11/2022,
732,PeoplePolling,24,44,8,8,5,25/11/2022,
733,Techne,27,50,9,4,,25/11/2022,
734,Omnisis,25,49,9,5,6,25/11/2022,
729,Savanta ComRes,28,46,10,3,3,26/11/2022,
735,Deltapoll,30,48,10,3,4,28/11/2022,
737,R+W,27,47,11,6,5,28/11/2022,
731,YouGov,25,48,9,5,5,29/11/2022,
743,Omnisis,25,48,9,6,5,02/12/2022,
747,R+W,26,48,10,6,5,05/12/2022,
744,Deltapoll,28,48,10,4,4,06/12/2022,
748,YouGov,24,48,9,6,8,08/12/2022,
745,Savanta ComRes,31,42,10,3,5,09/12/2022,
749,PeoplePolling,20,47,8,6,9,09/12/2022,
750,Techne,27,48,9,4,5,09/12/2022,
752,Omnisis,30,48,9,6,4,09/12/2022,
756,R+W,29,46,9,5,7,12/12/2022,
746,Savanta ComRes,28,48,11,3,4,13/12/2022,
755,Deltapoll,32,45,8,6,4,13/12/2022,
753,Kantar,29,46,9,5,4,15/12/2022,
754,Savanta ComRes,29,45,8,3,6,15/12/2022,
757,PeoplePolling,24,45,7,6,7,16/12/2022,
758,Techne,28,46,9,5,6,16/12/2022,
759,YouGov,23,48,8,5,9,16/12/2022,
761,Omnisis,26,47,9,6,6,16/12/2022,
760,Opinium,29,44,9,5,8,18/12/2022,
751,Ipsos,23,49,13,3,2,19/12/2022,
766,Omnisis,25,51,7,5,6,22/12/2022,
762,Savanta ComRes,28,45,9,3,5,23/12/2022,
764,PeoplePolling,22,46,8,6,8,23/12/2022,
765,Techne,28,45,8,5,7,23/12/2022,
763,YouGov,24,48,9,5,8,29/12/2022,
767,PeoplePolling,19,45,8,9,8,29/12/2022,
768,R+W,27,47,12,3,5,03/01/2023,
769,PeoplePolling,22,46,7,7,8,06/01/2023,
770,Techne,25,46,9,5,8,06/01/2023,
771,YouGov,25,46,9,6,7,06/01/2023,
772,Omnisis,27,49,10,4,4,06/01/2023,
773,Deltapoll,31,45,9,5,3,09/01/2023,
774,R+W,26,48,9,5,6,09/01/2023,
775,PeoplePolling,21,48,8,7,7,12/01/2023,
776,Omnisis,28,48,7,7,3,13/01/2023,
777,Techne,26,47,8,5,7,13/01/2023,
778,Opinium,29,45,9,5,6,15/01/2023,
779,YouGov,26,48,8,5,7,18/01/2023,
780,Focaldata,24,49,9,4,7,18/01/2023,
781,PeoplePolling,21,50,8,5,7,24/01/2023,
782,Techne,26,47,8,5,7,25/01/2023,
783,Omnisis,26,50,7,6,7,26/01/2023,
784,R+W,28,49,8,5,5,29/01/2023,
785,Deltapoll,29,46,9,4,4,29/01/2023,
786,YouGov,26,45,10,7,6,29/01/2023,
787,BMG,29,46,9,3,6,29/01/2023,
788,Techne,27,48,8,4,7,01/02/2023,
789,PeoplePolling,22,46,9,7,7,01/02/2023,
790,YouGov,24,48,9,6,6,01/02/2023,
791,Savanta ComRes,26,47,9,4,6,01/02/2023,
792,Omnisis,24,48,9,5,6,03/02/2023,
793,Deltapoll,29,47,9,4,5,06/02/2023,
794,Savanta ComRes,27,46,9,4,5,06/02/2023,
795,Techne,26,47,9,5,6,08/02/2023,
796,PeoplePolling,21,50,7,6,7,09/02/2023,
797,YouGov,24,47,10,6,6,09/02/2023,
798,Omnisis,26,47,10,4,8,10/02/2023,
799,Survation,26,42,11,5,6,10/02/2023,
800,R+W,27,48,9,5,6,12/02/2023,
801,Deltapoll,28,48,8,6,3,13/02/2023,
802,Savanta ComRes,28,45,10,4,5,13/02/2023,
803,Techne,27,48,8,5,6,15/02/2023,
804,Omnisis,25,48,10,5,7,15/02/2023,
805,PeoplePolling,21,48,8,8,7,15/02/2023,
806,Opinium,28,44,9,6,7,17/02/2023,
807,R+W,24,51,10,5,6,18/02/2023,
808,YouGov,22,50,9,6,7,18/02/2023,
809,Savanta ComRes,31,45,9,3,4,19/02/2023,
810,Kantar,28,45,9,7,5,20/02/2023,
811,Techne,27,49,8,5,5,22/02/2023,
812,PeoplePolling,20,46,7,8,9,22/02/2023,
813,Omnisis,24,48,10,5,8,22/02/2023,
814,BMG,29,46,9,4,6,23/02/2023,
815,R+W,24,51,9,5,7,26/02/2023,
816,YouGov,23,46,9,7,8,26/02/2023,
817,Deltapoll,31,46,8,4,5,27/02/2023,
818,Techne,29,47,8,5,6,01/03/2023,
819,Omnisis,26,45,11,6,6,02/03/2023,
820,Find Out Now / Electoral Calculus,25,48,9,6,5,02/03/2023,
821,Opinium,27,44,7,7,8,02/03/2023,
822,R+W,24,50,9,5,7,05/03/2023,
823,Ipsos,25,51,9,5,3,05/03/2023,
824,YouGov,25,47,10,5,6,05/03/2023,
825,Techne,29,46,9,5,6,08/03/2023,
826,PeoplePolling,23,42,8,10,7,08/03/2023,
827,Omnisis,26,50,7,5,6,09/03/2023,
828,YouGov,23,45,10,7,7,09/03/2023,
829,Savanta ComRes,32,43,9,3,5,09/03/2023,
830,Survation,29,45,10,3,4,09/03/2023,
831,Deltapoll,27,50,9,4,4,10/03/2023,
832,R+W,27,48,11,5,6,12/03/2023,
833,Savanta ComRes,30,45,9,3,5,12/03/2023,
834,Omnisis,25,46,6,7,9,15/03/2023,
835,Techne,30,47,8,4,5,15/03/2023,
836,Survation,32,48,9,2,3,15/03/2023,
837,YouGov,27,46,9,6,6,16/03/2023,
838,BMG,29,46,8,6,4,16/03/2023,
839,Opinium,29,44,8,6,7,17/03/2023,
840,PeoplePolling,20,45,9,6,13,17/03/2023,
841,Deltapoll,35,45,7,4,3,17/03/2023,
842,R+W,26,47,11,6,5,18/03/2023,
843,Survation,31,46,8,2,4,18/03/2023,
844,YouGov,23,49,10,6,6,21/03/2023,
845,PeoplePolling,22,43,10,8,9,22/03/2023,
846,Techne,31,46,8,4,5,22/03/2023,
847,Omnisis,29,44,10,5,6,23/03/2023,
848,R+W,27,46,10,4,8,26/03/2023,
849,Deltapoll,30,45,10,4,4,26/03/2023,
850,Savanta ComRes,29,45,9,3,4,26/03/2023,
851,Omnisis,27,50,9,4,6,28/03/2023,
852,Techne,30,46,9,4,5,29/03/2023,
853,PeoplePolling,24,42,9,7,8,29/03/2023,
854,YouGov,26,46,9,7,7,30/03/2023,
855,Opinium,29,44,9,5,7,31/03/2023,
856,R+W,28,45,12,4,5,02/04/2023,
857,Deltapoll,27,48,9,4,5,03/04/2023,
858,Savanta ComRes,29,45,10,3,5,03/04/2023,
859,Techne,30,45,9,5,5,05/04/2023,
860,Opinium,30,41,10,5,7,05/04/2023,
861,R+W,30,44,10,5,6,09/04/2023,
862,Techne,30,45,10,4,6,12/04/2023,
,,,,,,,,
